img_path,Style
/home/all/imgs/Sectional_Sofas/HONBAYModularSofaSleeperSectionalConvertibleModularCouchwithStorageSeatsModularSofaSleeperSectionalSofaBedBluishGrey.jpg,Modern
/home/all/imgs/Sectional_Sofas/CHITAOversizedModularSectionalFabricSofaSetExtraLargeUShapedCouchwithReversibleChaiseModularSectionalCouchinchWidthSeatModularSofawithStorageOttamansLinen.jpg,Modern
/home/all/imgs/Sectional_Sofas/HONBAYModularSleeperSofaBedwithStorageSeatOversizedModularSectionalSofaCouchVelvetReversibleModularSleeperSectionalCouchBedforLivingRoomBlack.jpg,Modern
/home/all/imgs/Sectional_Sofas/JUMMICOConvertibleSectionalSofaCouchLShapedCouchwithReversibleChaiseModernLinenFabricCouchesforLivingRoomApartmentandSmallSpaceDarkGrey.jpg,Modern
/home/all/imgs/Sectional_Sofas/DevionFurnitureContemporaryReversibleSectionalSleeperSectionalSofawithStorageChaiseinDarkGrayFabric.jpg,Contemporary
/home/all/imgs/Sectional_Sofas/YESHOMYConvertibleSectionalLShapedCouchSoftSeatwithModernLinenFabricSpaceSavingSofasforLivingRoomApartmentandOfficeDarkGray.jpg,Contemporary
/home/all/imgs/Sectional_Sofas/FlamakerConvertibleSectionalSofaCouchModernFabricUShapedLivingRoomFurnitureSetSeatSectionalSleeperSofawithDoubleChaiseMemoryFoamGrey.jpg,Contemporary
/home/all/imgs/Sectional_Sofas/JUMMICOConvertibleSectionalSofaCouchSeatSofaSetforLivingRoomwithThrowPillowsUShapedModernMinimalistFabricModularSofawithDoubleChaiseMemoryFoamGray.jpg,Contemporary
/home/all/imgs/Sectional_Sofas/VECELOConvertibleSectionalSofaModernLinenFabricLShapedCouchwithReversibleChaiseforLivingRoomApartmentOfficeGrey.jpg,Modern
/home/all/imgs/Sectional_Sofas/FlamakerSectionalCouchSofaCouchforLivingRoomLShapedCouchwithReversibleChaiseFabricSmallCouchesforApartmentSmallSpacesDarkGrey.jpg,Modern
/home/all/imgs/Sectional_Sofas/YaheetechLinenFabricModernSofaBedSectionalCouchBedFoldingReclinerSleeperReversibleLoveseatConvertibleDaybedCupHoldersAngleslbCapacityRemovableArmrestsDarkGray.jpg,Modern
/home/all/imgs/Sectional_Sofas/PaPaJetInchSleeperSofaBedTuftedPullOutSofaBedwithUSBPortsCupHoldersLShapeSectionalSofaBedwithStorageChaiseDarkGrey.jpg,Modern
/home/all/imgs/Sectional_Sofas/VongrasigConvertibleSectionalSofaCouchSeatLShapedSofawithRemovablePillowsLinenFabricSmallCouchMidCenturyforLivingRoomApartmentandOfficeGray.jpg,Modern
/home/all/imgs/Sectional_Sofas/YuuYeeModernCouchwChaiseSleeperLShapedSofaCouchReversibleChenilleSmallSectionalSofaSofawithChaiseMidModernCenturyCouchwithRemovableandWashableCushionsNavy.jpg,Modern
/home/all/imgs/Sectional_Sofas/YoumumeubConvertibleSectionalSofaCouchSeatSofawithStorageOttomanModernSofasCouchesforLivingRoomSingleApartmentandHotelDarkGrey.jpg,Modern
/home/all/imgs/Sectional_Sofas/SIENWIEYModularSectionalCouchLShapedCouchwithOttomanSeaterVelvetTuftedConvertibleSofaReversibleSofaPiecesforLivingRoomApartmentLounge.jpg,Modern
/home/all/imgs/Sectional_Sofas/BelffinModularReversibleSectionalSofaUShapedCouchwithStorageSeatwithChaiseVelvetBlue.jpg,Modern
/home/all/imgs/Sectional_Sofas/HONBAYModularSofaSleeperSectionalConvertibleModularCouchwithStorageSeatsModularSofaSleeperSectionalSofaBedBluishGrey.jpg,Modern
/home/all/imgs/Sectional_Sofas/CasaAndreaMilanoModernVelvetFabricSectionalSofaLShapeCouchwithExtraWideChaiseLounge.jpg,Modern
/home/all/imgs/Sectional_Sofas/HONBAYVelvetConvertibleSectionalSofaLShapedCouchwithReversibleChaiseforSmallApartmentGreen.jpg,Modern
